seed,initialization_strategy,architecture,depth,target,topology,operator_family,training_rmse,heldout_rmse,best_loss,hardened_expression,tree_signature,structural_match,failure_type,nan_restarts,wall_seconds
147,uniform,eq6,4,d4_T4,RR,EML,2.357018e+05,1.701091e+00,0.0004673932237012398,"EML Master Formula (depth=4, params=90) |   Internal routing: f, f, 1, f, f, f, 1, x, 1, x, f, x, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, x, 1, y, 1, x, 1, x, x, y","internal=[f, f, 1, f, f, f, 1, x, 1, x, f, x, f, f] leaves=[1, x, x, 1, x, 1, 1, x, 1, y, 1, x, 1, x, x, y]",no,training_failure,0,20.79
148,uniform,eq6,4,d4_T4,RR,EML,5.143435e+04,1.836125e+00,0.0004160532564502128,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, 1, 1, f, f, f, 1, f, 1, 1, f, x, f, f |   Leaf routing:     1, 1, x, 1, x, 1, 1, x, 1, y, 1, y, 1, y, x, y","internal=[1, 1, 1, f, f, f, 1, f, 1, 1, f, x, f, f] leaves=[1, 1, x, 1, x, 1, 1, x, 1, y, 1, y, 1, y, x, y]",no,training_failure,0,22.17
149,uniform,eq6,4,d4_T4,RR,EML,8.771036e-01,8.327756e-01,0.00038244150662254596,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, f, 1, f, 1, x, 1, x, 1, f, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, x, 1, y, 1, x, 1, x, x, 1","internal=[1, f, 1, f, 1, f, 1, x, 1, x, 1, f, f, f] leaves=[1, x, x, 1, x, 1, 1, x, 1, y, 1, x, 1, x, x, 1]",no,training_failure,0,21.12
150,uniform,eq6,4,d4_T4,RR,EML,5.143435e+04,1.254413e+00,0.0002398758231015145,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, x, f, 1, f, 1, 1, f, x, f, x, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y, x, y, 1, y, 1, y, y, y","internal=[1, f, x, f, 1, f, 1, 1, f, x, f, x, f, f] leaves=[1, x, x, 1, x, 1, 1, y, x, y, 1, y, 1, y, y, y]",no,training_failure,0,23.36
151,uniform,eq6,4,d4_T4,RR,EML,5.143435e+04,1.254413e+00,0.00029820947578028167,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, x, 1, 1, f, 1, x, 1, x, f, x, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y, x, y, 1, y, 1, y, y, 1","internal=[1, f, x, 1, 1, f, 1, x, 1, x, f, x, f, f] leaves=[1, x, x, 1, x, 1, 1, y, x, y, 1, y, 1, y, y, 1]",no,training_failure,0,22.67
152,uniform,eq6,4,d4_T4,RR,EML,4.443734e-01,4.133462e-01,0.00044179619989449077,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, x, f, f, 1, x, 1, 1, 1, x, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y, 1, y, 1, y, 1, x, y, 1","internal=[1, f, 1, x, f, f, 1, x, 1, 1, 1, x, f, f] leaves=[1, x, x, 1, x, 1, 1, y, 1, y, 1, y, 1, x, y, 1]",no,training_failure,0,20.18
153,uniform,eq6,4,d4_T4,RR,EML,2.357018e+05,1.701091e+00,0.0004729349526683864,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, f, f, f, 1, 1, 1, x, f, x, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, x, 1, y, 1, y, 1, x, y, 1","internal=[1, f, 1, f, f, f, 1, 1, 1, x, f, x, f, f] leaves=[1, x, x, 1, x, 1, 1, x, 1, y, 1, y, 1, x, y, 1]",no,training_failure,0,22.04
154,uniform,eq6,4,d4_T4,RR,EML,7.297027e-01,7.435839e-01,0.0004821712107068947,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, f, f, f, 1, 1, 1, x, 1, x, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, x, 1, y, y, x, 1, x, x, y","internal=[1, f, 1, f, f, f, 1, 1, 1, x, 1, x, f, f] leaves=[1, x, x, 1, x, 1, 1, x, 1, y, y, x, 1, x, x, y]",no,training_failure,0,20.58
155,uniform,eq6,4,d4_T4,RR,EML,9.718237e+05,9.622872e+05,0.0001605450084407948,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, x, f, f, f, x, x, f, x, f, 1, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y, x, y, 1, y, x, 1, 1, y","internal=[1, f, x, f, f, f, x, x, f, x, f, 1, f, f] leaves=[1, x, x, 1, x, 1, 1, y, x, y, 1, y, x, 1, 1, y]",no,training_failure,0,24.89
156,uniform,eq6,4,d4_T4,RR,EML,8.298804e-01,7.833690e-01,0.00022455537313442652,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, x, 1, 1, 1, x, 1, 1, 1, x, 1, x, 1, f |   Leaf routing:     1, x, x, y, y, y, 1, x, x, y, y, x, 1, x, x, 1","internal=[1, x, 1, 1, 1, x, 1, 1, 1, x, 1, x, 1, f] leaves=[1, x, x, y, y, y, 1, x, x, y, y, x, 1, x, x, 1]",no,training_failure,0,21.54
